"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"현대 더뉴 싼타페(20년~현재) 디젤 2.2 2WD 프리미엄 초이스",3649,152호2154,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240020/AT1763965820697w1_M.jpg,174852,1690,"현대 더뉴 싼타페(20년~현재) 디젤 2.2 2WD 프리미엄 초이스",기타,2021,"오토허브 경매장",,BC
"기아 스포티지 5세대 (21년~현재) 디젤 2.0 2WD 프레스티지",3650,195호1734,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240242/AT176396889919778_M.jpg,93176,2680,"기아 스포티지 5세대 (21년~현재) 디젤 2.0 2WD 프레스티지",흰색,2023,"오토허브 경매장",,BB
"현대 쏘나타 뉴 라이즈 (17년~현재) LPI택시형 스타일",3651,257도2129,오토,영업용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240130/AT176396504237761_M.jpg,543794,595,"현대 쏘나타 뉴 라이즈 (17년~현재) LPI택시형 스타일",기타,2019,"오토허브 경매장",,CC
"현대 팰리세이드 디젤 2.2 4WD 캘리그래피",3652,143호9917,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240167/AT176396897953905_M.jpg,56231,3810,"현대 팰리세이드 디젤 2.2 4WD 캘리그래피",검정,2022,"오토허브 경매장",,BB
"벤츠 NEW E-클래스 E300 아방가르드 W212 (09년~17년)",3653,399고5503,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511190911/AT1764044118962iy_M.jpg,146806,1750,"벤츠 NEW E-클래스 E300 아방가르드 W212 (09년~17년)",검정,2017,"오토허브 경매장",,BB
"폭스바겐 CC 2.0 TDI",3612,30저2230,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511210230/AT176395005078832_M.jpg,222782,250,"폭스바겐 CC 2.0 TDI",흰색,2011,"오토허브 경매장",,BB
"현대 그랜져 HG (11년~16년) HG300 프라임",3613,345소3280,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240118/AT176404329699606_M.jpg,144681,305,"현대 그랜져 HG (11년~16년) HG300 프라임",검정,2011,"오토허브 경매장",,CC
"렉서스 IS250 2.5",3614,50고3490,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511210217/AT1763951845124h4_M.jpg,185917,350,"렉서스 IS250 2.5",은색,2009,"오토허브 경매장",,CC
"아우디 Q5(FY)(17년~현재) 가솔린4WD 45 TFSI 콰트로",3615,136가5041,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240057/AT17639485780837s_M.jpg,83806,2680,"아우디 Q5(FY)(17년~현재) 가솔린4WD 45 TFSI 콰트로",검정,2020,"오토허브 경매장",,AB
"현대 아반떼 HD (06년~10년) 1.6 VVT S16 프리미어",3616,62로3836,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511210247/AT176395074178314_M.jpg,177628,210,"현대 아반떼 HD (06년~10년) 1.6 VVT S16 프리미어",기타,2008,"오토허브 경매장",,CF
